Loading model from train_sessions\train_sess_1\trained_models\lenet_pruned_1420step_0.9481accuracy.torchmodel
Initial accuracy = 0.9462
Pruning Threshold = 0.30220787320286036
Number of pruned params = 4353 out of 61706 total params
Fraction of params pruned = 7.054419343337763%
Fraction of zero params = 93.3215570609017%
Accuracy after pruning = 0.3191
Iter 235, loss = 1.5041147470474243
Iter 236, loss = 1.8494340181350708
Iter 237, loss = 1.882692813873291
Iter 238, loss = 1.683527946472168
Iter 239, loss = 1.6622581481933594
Iter 240, loss = 1.9818553924560547
Iter 241, loss = 1.7217817306518555
Iter 242, loss = 1.7026095390319824
Iter 243, loss = 1.8384289741516113
Iter 244, loss = 1.7474637031555176
Iter 245, loss = 1.7702820301055908
Iter 246, loss = 1.3946728706359863
Iter 247, loss = 1.6750872135162354
Iter 248, loss = 1.8035999536514282
Iter 249, loss = 1.7130818367004395
Iter 250, loss = 1.478127360343933
Iter 251, loss = 1.5751076936721802
Iter 252, loss = 1.6228049993515015
Iter 253, loss = 1.7045173645019531
Iter 254, loss = 1.5991785526275635
Iter 255, loss = 1.5790234804153442
Iter 256, loss = 1.7287681102752686
Iter 257, loss = 1.6882950067520142
Iter 258, loss = 1.849548578262329
Iter 259, loss = 1.6104786396026611
Iter 260, loss = 1.839989185333252
Iter 261, loss = 1.779860258102417
Iter 262, loss = 1.5256643295288086
Iter 263, loss = 1.821488618850708
Iter 264, loss = 1.5541276931762695
Iter 265, loss = 1.7599390745162964
Iter 266, loss = 1.9574471712112427
Iter 267, loss = 1.5607061386108398
Iter 268, loss = 1.5684257745742798
Iter 269, loss = 1.643151879310608
Iter 270, loss = 1.7858881950378418
Iter 271, loss = 1.683397650718689
Iter 272, loss = 1.819218635559082
Iter 273, loss = 1.9063405990600586
Iter 274, loss = 1.7817111015319824
Iter 275, loss = 1.7046581506729126
Iter 276, loss = 1.803326964378357
Iter 277, loss = 1.3543591499328613
Iter 278, loss = 1.8653407096862793
Iter 279, loss = 1.7369859218597412
Iter 280, loss = 1.6292474269866943
Iter 281, loss = 1.8015742301940918
Iter 282, loss = 1.7748007774353027
Iter 283, loss = 1.6130080223083496
Iter 284, loss = 1.8118711709976196
Iter 285, loss = 1.6449037790298462
Iter 286, loss = 1.8379619121551514
Iter 287, loss = 1.5024124383926392
Iter 288, loss = 1.6040719747543335
Iter 289, loss = 1.7181965112686157
Iter 290, loss = 1.4520435333251953
Iter 291, loss = 1.65142822265625
Iter 292, loss = 1.7537739276885986
Iter 293, loss = 1.8561620712280273
Iter 294, loss = 1.5609893798828125
Iter 295, loss = 1.7028553485870361
Iter 296, loss = 1.7258753776550293
Iter 297, loss = 1.7450799942016602
